min_rate_diff,momentum_window,volatility_window,max_position_size,transaction_cost,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,total_trades,win_rate,profit_factor
0.25,20,30,0.15,0.0001,1.5401674020141383,0.06890361492538144,22.72523926169979,0.0021519515971742324,-1.537037763631101,425,0.3247058823529412,2.441974780382584
0.25,20,30,0.1,0.0001,1.5401674020141383,0.06890361492538144,22.72523926169979,0.0021519515971742324,-1.537037763631101,425,0.3247058823529412,2.441974780382584
0.25,20,30,0.05,0.0001,1.5401674020141383,0.06890361492538144,22.72523926169979,0.0021519515971742324,-1.537037763631101,425,0.3247058823529412,2.441974780382584
0.25,10,30,0.05,0.0001,1.7012177975922853,0.07361062136661589,40.61593399131947,0.001319940626702655,-1.5043245714435503,432,0.35648148148148145,2.4268339845927227
0.25,10,30,0.1,0.0001,1.7012177975922853,0.07361062136661589,40.61593399131947,0.001319940626702655,-1.5043245714435503,432,0.35648148148148145,2.4268339845927227
0.25,10,30,0.15,0.0001,1.7012177975922853,0.07361062136661589,40.61593399131947,0.001319940626702655,-1.5043245714435503,432,0.35648148148148145,2.4268339845927227
0.25,30,30,0.1,0.0001,1.0076987087190212,0.05108087368855929,75.000301259643,0.0004144099845807371,-1.590200299283677,429,0.32167832167832167,2.20194454823022
0.25,30,30,0.05,0.0001,1.0076987087190212,0.05108087368855929,75.000301259643,0.0004144099845807371,-1.590200299283677,429,0.32167832167832167,2.20194454823022
0.25,30,30,0.15,0.0001,1.0076987087190212,0.05108087368855929,75.000301259643,0.0004144099845807371,-1.590200299283677,429,0.32167832167832167,2.20194454823022
0.1,20,30,0.15,0.0001,-0.675962664514768,-0.07738914447789014,307.4234098600176,-0.0003167915693936105,-1.8836536406560245,423,0.3262411347517731,2.7006541893195957
0.1,20,30,0.1,0.0001,-0.675962664514768,-0.07738914447789014,307.4234098600176,-0.0003167915693936105,-1.8836536406560245,423,0.3262411347517731,2.7006541893195957
0.1,20,30,0.05,0.0001,-0.675962664514768,-0.07738914447789014,307.4234098600176,-0.0003167915693936105,-1.8836536406560245,423,0.3262411347517731,2.7006541893195957
0.1,10,30,0.1,0.0001,-0.5846102876782289,-0.06086468539332379,45.48345406123586,-0.0017778923580529533,-1.8451790599108286,421,0.32779097387173395,2.534472666874598
0.1,10,30,0.15,0.0001,-0.5846102876782289,-0.06086468539332379,45.48345406123586,-0.0017778923580529533,-1.8451790599108286,421,0.32779097387173395,2.534472666874598
0.1,10,30,0.05,0.0001,-0.5846102876782289,-0.06086468539332379,45.48345406123586,-0.0017778923580529533,-1.8451790599108286,421,0.32779097387173395,2.534472666874598
0.1,30,30,0.15,0.0001,-0.7418468927144856,-0.09225792366774843,21.059466484366347,-0.005330520777963865,-1.9139729287706515,429,0.3356643356643357,2.7920769553693314
0.1,30,30,0.1,0.0001,-0.7418468927144856,-0.09225792366774843,21.059466484366347,-0.005330520777963865,-1.9139729287706515,429,0.3356643356643357,2.7920769553693314
0.1,30,30,0.05,0.0001,-0.7418468927144856,-0.09225792366774843,21.059466484366347,-0.005330520777963865,-1.9139729287706515,429,0.3356643356643357,2.7920769553693314
0.1,10,20,0.05,0.0001,-3.354514206521202,,15.652099680282506,,-2.302768016402817,543,0.2983425414364641,0.7515591061266963
0.1,10,20,0.1,0.0001,-3.354514206521202,,15.652099680282506,,-2.302768016402817,543,0.2983425414364641,0.7515591061266963
0.1,10,20,0.15,0.0001,-3.354514206521202,,15.652099680282506,,-2.302768016402817,543,0.2983425414364641,0.7515591061266963
0.1,20,20,0.05,0.0001,-3.4490126965030936,,8.921558980988051,,-2.3459554172743986,536,0.23880597014925373,0.7045553783515259
0.1,20,20,0.1,0.0001,-3.4490126965030936,,8.921558980988051,,-2.3459554172743986,536,0.23880597014925373,0.7045553783515259
0.1,20,20,0.15,0.0001,-3.4490126965030936,,8.921558980988051,,-2.3459554172743986,536,0.23880597014925373,0.7045553783515259
0.1,30,20,0.05,0.0001,-3.4406187178239094,,7.2062666235771955,,-2.3413391825823684,519,0.29672447013487474,0.7615517392232224
0.1,30,20,0.1,0.0001,-3.4406187178239094,,7.2062666235771955,,-2.3413391825823684,519,0.29672447013487474,0.7615517392232224
0.1,30,20,0.15,0.0001,-3.4406187178239094,,7.2062666235771955,,-2.3413391825823684,519,0.29672447013487474,0.7615517392232224
0.25,10,20,0.05,0.0001,-4.808849064917838,,6.339362515604723,,-2.5970381100904376,555,0.27387387387387385,1.0975540766077303
0.25,10,20,0.1,0.0001,-4.808849064917838,,6.339362515604723,,-2.5970381100904376,555,0.27387387387387385,1.0975540766077303
0.25,10,20,0.15,0.0001,-4.808849064917838,,6.339362515604723,,-2.5970381100904376,555,0.27387387387387385,1.0975540766077303
0.25,20,20,0.05,0.0001,-4.151124377502482,,9.058712941373066,,-2.4922610226776913,555,0.2774774774774775,1.255578524790112
0.25,20,20,0.1,0.0001,-4.151124377502482,,9.058712941373066,,-2.4922610226776913,555,0.2774774774774775,1.255578524790112
0.25,20,20,0.15,0.0001,-4.151124377502482,,9.058712941373066,,-2.4922610226776913,555,0.2774774774774775,1.255578524790112
0.25,30,20,0.05,0.0001,-4.549470000617189,,7.412133548392584,,-2.569774521934991,540,0.3,1.1799820589197252
0.25,30,20,0.1,0.0001,-4.549470000617189,,7.412133548392584,,-2.569774521934991,540,0.3,1.1799820589197252
0.25,30,20,0.15,0.0001,-4.549470000617189,,7.412133548392584,,-2.569774521934991,540,0.3,1.1799820589197252
